technical_rank,speaker,technical_score,snr_proxy_db,noise_floor_proxy_dbfs,rms_dbfs,peak_dbfs,crest_db,clipped_pct,silence_pct,internal_silence_gt_700ms,duration_s,technical_band,editorial_status,sample_url
62,88,100.0,30.13,-49.75,-17.28,0.0,17.28,0.0022,11.94,0,67.0,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_88.mp3
63,40,100.0,30.03,-48.68,-17.31,0.0,17.31,0.0024,13.73,0,64.39,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_40.mp3
64,30,99.9,55.98,-73.17,-14.23,0.0,14.23,0.0048,19.8,0,50.3,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_30.mp3
65,46,99.9,29.97,-48.78,-16.9,0.0,16.9,0.0022,12.94,0,54.56,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_46.mp3
66,67,99.4,29.62,-52.11,-19.23,0.0,19.23,0.0017,16.63,0,61.45,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_67.mp3
67,95,99.1,29.37,-44.15,-14.48,0.0,14.48,0.0017,8.65,0,64.99,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_95.mp3
68,99,98.7,29.11,-48.15,-17.62,0.0,17.62,0.0012,13.5,0,89.93,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_99.mp3
69,45,98.3,28.81,-43.81,-14.71,0.0,14.71,0.0037,8.13,0,67.39,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_45.mp3
70,26,98.0,28.62,-45.18,-14.87,0.0,14.87,0.0023,10.06,0,54.87,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_26.mp3
71,52,97.8,28.46,-45.05,-15.87,0.0,15.87,0.002,10.1,0,67.16,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_52.mp3
